experiment_id,learner_code,task_code,generation_mode,status,final_outcome,attempts_count,started_at,completed_at
00f39220-9287-4d10-9136-001198d6ec79,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:30:47.020064,
5068d31d-575a-43d1-b63c-b713e0646099,CHILD-001,TASK-ENG-002,rule,active,,2,2026-09-17T14:30:47.124327,
cbac5c1c-69a4-4d3a-8149-bbf53bb9a817,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:30:50.040056,2026-09-17T14:30:50.077696
743de994-2b74-4c99-ada9-2a803a990319,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:30:50.113994,
982f5ee0-85ac-4d16-8b1a-caafffca7453,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:33:09.659135,
a9f31c9c-ac27-4625-accd-75acf25ed0ab,CHILD-001,TASK-ENG-002,rule,escalated,adult_support,3,2026-09-17T14:33:09.688148,2026-09-17T14:33:16.740222
bd2481c3-e2e8-4556-a0e4-37761ece6e97,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:33:16.760861,2026-09-17T14:33:16.796007
6ef92ab2-bd58-48cd-8957-fc27c309940a,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:33:16.834867,
535c30bb-4616-4d36-8792-2f0df1cf695a,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:33:57.370617,
883b487e-51c8-4e95-95da-c03e1246f3d1,CHILD-001,TASK-ENG-002,rule,escalated,adult_support,3,2026-09-17T14:33:57.401572,2026-09-17T14:34:33.468290
bdb3348c-9c84-425d-a4f4-037c26a7ceba,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:34:33.481557,2026-09-17T14:34:33.516672
433f54d1-f19d-44ff-9341-e54de37caabd,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:34:33.551412,
4fee59b8-7c8e-4597-bae6-d1c237232f34,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T14:35:07.981859,2026-09-17T14:35:08.041822
174bdf58-305a-4aa9-899b-ad4470f7375e,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:35:08.063730,
9facab47-8a04-4453-80b5-23b946dc354b,CHILD-001,TASK-ENG-002,rule,escalated,adult_support,3,2026-09-17T14:35:08.082566,2026-09-17T14:35:08.128715
cc479c01-3683-4d1d-8af1-a098f875146e,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:35:08.138999,2026-09-17T14:35:08.171674
33485bc6-9080-4e2e-8640-9f25bb48cddb,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:35:08.191483,
309e5984-a910-4f51-b665-ed86b213f962,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T14:45:39.414352,2026-09-17T14:45:39.681003
0764a93e-bb2b-457c-8604-ab6691cbb89f,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:45:39.812844,
efbe0f04-3b99-4e54-ba4d-b3bf7456246d,CHILD-001,TASK-ENG-002,rule,escalated,adult_support,3,2026-09-17T14:45:39.861520,2026-09-17T14:45:40.249020
59963779-ef86-47fb-b8e5-570bd430718e,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:45:40.379194,2026-09-17T14:45:40.600008
28d2b209-7f30-459b-b1b4-8ef5e9ac791b,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:45:40.651645,
7e0d6dc5-27ed-4aff-8c60-2dadb80ad3ac,CHILD-003,TASK-ENG-003,hybrid,active,,0,2026-09-17T14:46:27.452791,
746d5a8e-9c38-4594-8f3b-e7d58fa57dc6,CHILD-002,TASK-ENG-004,rule,active,,0,2026-09-17T14:46:27.485935,
8d8d7d3c-e04a-41c8-86e1-1f708d40d6d1,CHILD-004,TASK-ENG-010,hybrid,active,,0,2026-09-17T14:46:27.515581,
26e08734-7971-4138-8f55-fd7fac85baf2,CHILD-001,TASK-ENG-001,rule,active,,1,2026-09-17T14:46:27.549478,
487342f0-e91e-486d-a8cf-0461ca76a201,CHILD-003,TASK-ENG-006,hybrid,active,,0,2026-09-17T14:46:31.658753,
c38107e7-644b-4898-8ec5-a4d57d060503,CHILD-003,TASK-ENG-003,hybrid,active,,0,2026-09-17T14:46:52.945718,
018eeca2-311d-4aa2-be94-7a3dd9b2ece5,CHILD-002,TASK-ENG-004,rule,active,,0,2026-09-17T14:46:52.982179,
6cce95ab-09b1-436f-b5a3-c1cdbe970990,CHILD-004,TASK-ENG-010,hybrid,active,,0,2026-09-17T14:46:53.012283,
448a715c-9af5-4209-be6e-bf0f9ae23fc5,CHILD-001,TASK-ENG-001,rule,active,,1,2026-09-17T14:46:53.043856,
4c2c1f3e-7b07-4ee0-9f57-e952b2cda363,CHILD-003,TASK-ENG-006,hybrid,active,,0,2026-09-17T14:46:53.133471,
7efaed6e-92c7-4d16-b78b-41bdb5fbcd25,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T14:46:53.302751,2026-09-17T14:46:53.366006
600a1235-1753-4e36-b20a-e5ef0175cee9,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:46:53.407386,
281c3174-c12d-4911-a9ce-77b27357e0c7,CHILD-001,TASK-ENG-002,rule,escalated,adult_support,3,2026-09-17T14:46:53.437113,2026-09-17T14:46:53.501246
d51c8585-e3a4-40b7-8872-d80e7b5f3282,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:46:53.533832,2026-09-17T14:46:53.619609
8837ce7b-59c2-450a-a8f9-93f4382078eb,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:46:53.644446,
d3c8b9e4-90a8-4f9a-9fbc-497f62a304ee,CHILD-001,TASK-ENG-001,hybrid,active,,0,2026-09-17T14:54:50.691489,
1d505ef4-5b83-4d98-a53e-ffcd78609693,CHILD-001,TASK-ENG-002,llm,active,,0,2026-09-17T14:58:41.990632,
38cffe96-755d-4660-99b8-cee6b3ec599e,CHILD-001,TASK-ENG-003,hybrid,active,,0,2026-09-17T14:58:42.015562,
5601adac-2247-47b7-a864-6ba5f30dfba2,CHILD-003,TASK-ENG-003,hybrid,active,,0,2026-09-17T15:01:00.714300,
e3152c8a-fb1c-4ef6-9850-e58ea329fe6a,CHILD-002,TASK-ENG-004,rule,active,,0,2026-09-17T15:01:00.804039,
59abdbe7-33cf-4b2f-93c1-f25ee1b8fc79,CHILD-004,TASK-ENG-010,hybrid,active,,0,2026-09-17T15:01:00.916530,
67d3f484-7eaa-4130-b4e3-1a2da7df301a,CHILD-001,TASK-ENG-001,rule,active,,1,2026-09-17T15:01:00.999809,
2e91d420-25f2-48af-962e-092925c2f7cb,CHILD-003,TASK-ENG-006,hybrid,active,,0,2026-09-17T15:01:01.223338,
867da5d4-dbf0-4833-aae2-0ab513387f23,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T15:01:01.419392,2026-09-17T15:01:01.553581
f69379a2-a347-4c01-a128-c62ce65b84d0,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T15:01:01.644191,
8a9a5314-c46b-42ef-8e40-8237383593fd,CHILD-001,TASK-ENG-002,rule,escalated,adult_support,3,2026-09-17T15:01:01.695603,2026-09-17T15:01:01.861356
d8b21811-36fb-4280-ba88-6e27a6437f33,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T15:01:01.909225,2026-09-17T15:01:02.086563
b4c3b5ed-35bc-4585-b4ef-69a82f9dad9f,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T15:01:02.157006,
